(-36.64, 35.59), RGB(red=0, green=0, blue=0)
(-50.29, 17.71), RGB(red=0, green=0, blue=0)
(-45.05, 7.73), RGB(red=0, green=0, blue=0)
(-20.36, 8.28), RGB(red=0, green=0, blue=0)
(-57.2, 21.34), RGB(red=0, green=0, blue=0)
(-43.85, 19.36), RGB(red=0, green=0, blue=0)
(-29.58, 41.26), RGB(red=0, green=0, blue=0)
(-59.08, 26.65), RGB(red=0, green=0, blue=0)
(-35.24, 27.17), RGB(red=0, green=0, blue=0)
(-24.47, 8.16), RGB(red=0, green=0, blue=0)
(-49.71, 27.12), RGB(red=0, green=0, blue=0)
(-52.9, 14.03), RGB(red=0, green=0, blue=0)
(-31.72, 0.17), RGB(red=0, green=0, blue=0)
(-35.13, 36.99), RGB(red=0, green=0, blue=0)
(-23.74, 7.1), RGB(red=0, green=0, blue=0)
(-57.09, 34.08), RGB(red=0, green=0, blue=0)
(-37.04, 38.64), RGB(red=0, green=0, blue=0)
(-20.64, 22.9), RGB(red=0, green=0, blue=0)
(-40.97, 27.98), RGB(red=0, green=0, blue=0)
(-45.73, 29.63), RGB(red=0, green=0, blue=0)
(-26.77, 12.98), RGB(red=0, green=0, blue=0)
(-32.51, 32.63), RGB(red=0, green=0, blue=0)
(-42.05, 31.05), RGB(red=0, green=0, blue=0)
(-38.36, 39.28), RGB(red=0, green=0, blue=0)
(-30.28, 17.03), RGB(red=0, green=0, blue=0)
(-33.15, 16.5), RGB(red=0, green=0, blue=0)
(-43.01, 19.76), RGB(red=0, green=0, blue=0)
(-52.75, 16.47), RGB(red=0, green=0, blue=0)
(-29.76, 26.55), RGB(red=0, green=0, blue=0)
(-40.38, 32.71), RGB(red=0, green=0, blue=0)
(-18.51, 25.0), RGB(red=0, green=0, blue=0)
(-23.45, 4.67), RGB(red=0, green=0, blue=0)
(-34.07, 44.19), RGB(red=0, green=0, blue=0)
(-44.48, 44.24), RGB(red=0, green=0, blue=0)
(-27.19, 40.22), RGB(red=0, green=0, blue=0)
(-32.45, 17.52), RGB(red=0, green=0, blue=0)
(-46.54, 26.05), RGB(red=0, green=0, blue=0)
(-50.72, 37.76), RGB(red=0, green=0, blue=0)
(-28.38, 23.52), RGB(red=0, green=0, blue=0)
(-18.4, 27.06), RGB(red=0, green=0, blue=0)
(-24.05, 25.81), RGB(red=0, green=0, blue=0)
(-43.31, 22.84), RGB(red=0, green=0, blue=0)
(-47.68, 33.65), RGB(red=0, green=0, blue=0)
(-40.92, 10.78), RGB(red=0, green=0, blue=0)
(-44.38, 18.53), RGB(red=0, green=0, blue=0)
(-24.35, 7.34), RGB(red=0, green=0, blue=0)
(-15.77, 19.22), RGB(red=0, green=0, blue=0)
(-43.89, 34.69), RGB(red=0, green=0, blue=0)
(-58.05, 30.74), RGB(red=0, green=0, blue=0)
(-59.45, 16.79), RGB(red=0, green=0, blue=0)
(-43.32, 3.32), RGB(red=0, green=0, blue=0)
(-26.71, 36.34), RGB(red=0, green=0, blue=0)
(-52.82, 22.29), RGB(red=0, green=0, blue=0)
(-25.14, 7.1), RGB(red=0, green=0, blue=0)
(-28.01, 28.85), RGB(red=0, green=0, blue=0)
(-48.11, 18.99), RGB(red=0, green=0, blue=0)
(-25.43, 32.69), RGB(red=0, green=0, blue=0)
(-26.68, 14.49), RGB(red=0, green=0, blue=0)
(-38.16, 38.21), RGB(red=0, green=0, blue=0)
(-45.93, 11.06), RGB(red=0, green=0, blue=0)
(-45.77, 36.36), RGB(red=0, green=0, blue=0)
(-25.75, 21.08), RGB(red=0, green=0, blue=0)
(-21.46, 23.9), RGB(red=0, green=0, blue=0)
(-52.78, 17.92), RGB(red=0, green=0, blue=0)
(-40.03, 12.01), RGB(red=0, green=0, blue=0)
(-33.3, 1.89), RGB(red=0, green=0, blue=0)
(-50.39, 17.85), RGB(red=0, green=0, blue=0)
(-21.64, 25.94), RGB(red=0, green=0, blue=0)
(-32.47, 20.01), RGB(red=0, green=0, blue=0)
(-27.52, 35.34), RGB(red=0, green=0, blue=0)
(-33.79, 26.05), RGB(red=0, green=0, blue=0)
(-19.14, 13.52), RGB(red=0, green=0, blue=0)
(-41.61, 21.88), RGB(red=0, green=0, blue=0)
(-34.53, 24.67), RGB(red=0, green=0, blue=0)
(-45.39, 15.52), RGB(red=0, green=0, blue=0)
(-53.21, 34.79), RGB(red=0, green=0, blue=0)
(-47.05, 22.48), RGB(red=0, green=0, blue=0)
(-46.14, 3.06), RGB(red=0, green=0, blue=0)
